sysTime,driveMode,gyroYaw,leftEncoder,rightEncoder,leftEncoderVel,rightEncoderVel,leftMotorPercent,rightMotorPercent,leftMotorVoltage,rightMotorVoltage,leftMotorCurrent,rightMotorCurrent,driveStick,turnStick,leftPathPos,leftPathVel,leftPathAcc,rightPathPos,rightPathVel,rightPathAcc,pathHdg,pathStep0,pathStep1,leftBusVoltage,rightBusVoltage,leftTemp,rightTemp,leftHasResetOccurred,rightHasResetOccurred,leftIsSafetyEnabled,rightIsSafetyEnabled
866778464,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
873969845,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
883280580,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
892950384,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
900671706,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
913152708,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
920251917,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
934083085,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
942026677,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
952870675,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
966333685,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
974749042,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
981798704,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
993146030,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
999799886,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
1017772010,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
1097147683,PATH_FOLLOWING,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,-591.9317133182577,0.11021553495933556,0.10142959211756111,-213.93171331825766,0.11021553495933556,0.009521961708995531,0.0,0,1,12.65,12.65,29.0,26.0,false,false,false,false
1111847644,PATH_FOLLOWING,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,-591.418366143287,0.385114671134627,0.1764292582045174,-213.418366143287,0.385114671134627,0.016562746688587347,0.0,1,2,12.65,12.65,29.0,26.0,false,false,false,false
1121840464,PATH_FOLLOWING,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,-590.7586787668333,0.6888830781793893,0.30348800298583434,-212.75867876683338,0.6888830781793893,0.028490710484384445,0.0,2,3,12.65,12.65,29.0,26.0,false,false,false,false
